sample,strain,replicate,total_offspring,lifetime_mean,lifetime_sd,group1,group2,estimate,conf.low,conf.high,p.adj,p.adj.signif
ECA3953.R1,ECA3953,1,179,202.12,21.76,ECA3953,PB420,-2.125,-41.62332,37.37332,0.99,ns
ECA3953.R2,ECA3953,2,206,202.12,21.76,ECA3953,PB420,-2.125,-41.62332,37.37332,0.99,ns
ECA3953.R3,ECA3953,5,193,202.12,21.76,ECA3953,PB420,-2.125,-41.62332,37.37332,0.99,ns
ECA3953.R4,ECA3953,6,225,202.12,21.76,ECA3953,PB420,-2.125,-41.62332,37.37332,0.99,ns
ECA3953.R5,ECA3953,7,234,202.12,21.76,ECA3953,PB420,-2.125,-41.62332,37.37332,0.99,ns
ECA3953.R6,ECA3953,8,181,202.12,21.76,ECA3953,PB420,-2.125,-41.62332,37.37332,0.99,ns
ECA3953.R7,ECA3953,9,181,202.12,21.76,ECA3953,PB420,-2.125,-41.62332,37.37332,0.99,ns
ECA3953.R8,ECA3953,10,218,202.12,21.76,ECA3953,PB420,-2.125,-41.62332,37.37332,0.99,ns
ECA3954.R1,ECA3954,1,207,199.17,37.97,ECA3954,PB420,0.8333333,-41.82973,43.4964,0.999,ns
ECA3954.R2,ECA3954,3,199,199.17,37.97,ECA3954,PB420,0.8333333,-41.82973,43.4964,0.999,ns
ECA3954.R3,ECA3954,4,187,199.17,37.97,ECA3954,PB420,0.8333333,-41.82973,43.4964,0.999,ns
ECA3954.R4,ECA3954,7,252,199.17,37.97,ECA3954,PB420,0.8333333,-41.82973,43.4964,0.999,ns
ECA3954.R5,ECA3954,8,136,199.17,37.97,ECA3954,PB420,0.8333333,-41.82973,43.4964,0.999,ns
ECA3954.R6,ECA3954,10,214,199.17,37.97,ECA3954,PB420,0.8333333,-41.82973,43.4964,0.999,ns
PB420.R1,PB420,1,212,200,33.47,PB420,PB420,,,,,
PB420.R2,PB420,2,243,200,33.47,PB420,PB420,,,,,
PB420.R3,PB420,3,182,200,33.47,PB420,PB420,,,,,
PB420.R4,PB420,5,190,200,33.47,PB420,PB420,,,,,
PB420.R5,PB420,6,137,200,33.47,PB420,PB420,,,,,
PB420.R6,PB420,7,236,200,33.47,PB420,PB420,,,,,
PB420.R7,PB420,8,209,200,33.47,PB420,PB420,,,,,
PB420.R8,PB420,10,191,200,33.47,PB420,PB420,,,,,
