gene,cell_population,cel_tau_median,cel_tau_lower,cel_tau_upper,cbr_tau_median,cbr_tau_lower,cbr_tau_upper,tau_diff
tbb-4,Terminal,0.631738230310685,0.621458048106953,0.641200267828294,0.579356386491681,0.569500779070673,0.589558771317976,0.052381843819004
tbb-2,Terminal,0.300698938134455,0.290347612068387,0.310273964499201,0.345899082919779,0.334984131346073,0.359826002348498,0.045200144785324
ben-1,Terminal,0.46902613159511,0.458985832565429,0.477991095599325,0.460957368002006,0.447145527607086,0.473815126915396,0.00806876359310399
tbb-1,Terminal,0.21556645559548,0.202390985039167,0.24108716785131,0.277070858177517,0.268616851666731,0.292746411090247,0.061504402582037
mec-7,Terminal,0.615417951549656,0.609800200070811,0.621996532296367,0.642860637139546,0.635297048660449,0.650903149979044,0.0274426855898901
tbb-4,Progenitor,0.71687268949674,0.704300564655727,0.728814484559927,0.635118916686055,0.625230784487379,0.645012336376692,0.081753772810685
tbb-2,Progenitor,0.211011852457929,0.202873035858094,0.22481924659693,0.325770234345322,0.317669080221949,0.334270034685817,0.114758381887393
ben-1,Progenitor,0.563547840286155,0.544507256195536,0.583137138717672,0.547426198816558,0.53446002011651,0.560688138364219,0.016121641469597
tbb-1,Progenitor,0.142925186011529,0.129177754400747,0.161134331562312,0.201475751334765,0.191230695205858,0.211691135355178,0.058550565323236
mec-7,Progenitor,0.724681868323837,0.71493825505566,0.734905784711032,0.694604988246164,0.684942593159745,0.70458163149383,0.030076880077673
tbb-4,Joint,0.685992016607223,0.678978706748419,0.693622749708984,0.624502270640568,0.616900903104585,0.631636343425103,0.061489745966655
tbb-2,Joint,0.311708766569254,0.304225565431958,0.323462108921543,0.434860529200476,0.42771387787916,0.441826618852574,0.123151762631222
ben-1,Joint,0.592910191332903,0.584617713075436,0.601295580010448,0.554576580124434,0.543286711548689,0.565017764043122,0.038333611208469
tbb-1,Joint,0.278884294825929,0.267157606238125,0.295495264115074,0.349333241967523,0.34074228875776,0.35843472298848,0.070448947141594
mec-7,Joint,0.659023367787303,0.654501261781534,0.663690429867014,0.678454961815166,0.673233741576571,0.684177889939197,0.019431594027863
