"well.id","flag_id","Metadata_Experiment","Metadata_Plate","Metadata_Well","Metadata_Date","Metadata_Group","Metadata_Magnification","FileName_RawBF","wo_po_area_frac","assay_type","food_conc_OD","food_type","diluent","diluent_concentration_perc","drug","concentration_um","drug_stock_prep_date","drug_prep_method","strain","bleach","well_censor","well_censor_reason","notes","i.dir","w.lab","gbm2x_class","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","n","titer_WellFlag","n_WellFlag"
"ABZ_p001_A01","ABZ_1_EG6260_albendazole","ABZ","p001","A01",20231116,"p001_A01","m2x","20231116-ABZ-p001-m2x_A01.TIF",1.14977973568282,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0,"2023_11_01","see notion","EG6260",1,NA,NA,NA,"/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20231116_CAE_Ce_Cb_ABZ_AOS/Analysis-20231117/processed_images/","albendazole_EG6260","worm",742.229117936027,713.913943129927,719.594616777891,728.06834440504,744.770920456982,17.413899589791,750.612795233809,763.989351316267,781.817441360967,0.0234616227913763,25,NA,NA
"ABZ_p001_A02","ABZ_1_EG6260_albendazole","ABZ","p001","A02",20231116,"p001_A02","m2x","20231116-ABZ-p001-m2x_A02.TIF",1.0659550133435,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.12,"2023_11_01","see notion","EG6260",1,NA,NA,NA,"/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20231116_CAE_Ce_Cb_ABZ_AOS/Analysis-20231117/processed_images/","albendazole_EG6260","worm",755.09927747595,704.93212220252,725.80212464937,742.701454451821,757.554445277809,21.8754299645786,768.43036849856,776.413159006614,807.311059355721,0.0289702700255535,34,NA,"n>30"
"ABZ_p001_A03","ABZ_1_EG6260_albendazole","ABZ","p001","A03",20231116,"p001_A03","m2x","20231116-ABZ-p001-m2x_A03.TIF",1.10645033636723,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.23,"2023_11_01","see notion","EG6260",1,NA,NA,NA,"/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20231116_CAE_Ce_Cb_ABZ_AOS/Analysis-20231117/processed_images/","albendazole_EG6260","worm",735.699399028785,653.776917432366,690.202920329464,703.27695456611,733.950574883863,39.2913309870954,764.507158449241,787.80007459294,815.553626992131,0.0534067732540829,26,NA,NA
"ABZ_p001_A04","ABZ_1_EG6260_albendazole","ABZ","p001","A04",20231116,"p001_A04","m2x","20231116-ABZ-p001-m2x_A04.TIF",1.1053525913339,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.47,"2023_11_01","see notion","EG6260",1,NA,NA,NA,"/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20231116_CAE_Ce_Cb_ABZ_AOS/Analysis-20231117/processed_images/","albendazole_EG6260","worm",720.822338052929,684.136660519413,689.967286770985,694.447726117169,714.228032072666,29.687199763318,740.571121279896,765.055922930068,775.795150940191,0.0411851828059443,18,NA,NA
"ABZ_p001_A05","ABZ_1_EG6260_albendazole","ABZ","p001","A05",20231116,"p001_A05","m2x","20231116-ABZ-p001-m2x_A05.TIF",1.06415396952686,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.94,"2023_11_01","see notion","EG6260",1,NA,NA,NA,"/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20231116_CAE_Ce_Cb_ABZ_AOS/Analysis-20231117/processed_images/","albendazole_EG6260","worm",695.558976001716,636.794547919539,641.48514179757,681.344160612078,698.550400067421,30.6804563748011,719.82233149082,728.510047265323,732.68304254808,0.04410906541838,20,NA,NA
"ABZ_p001_A06","ABZ_1_EG6260_albendazole","ABZ","p001","A06",20231116,"p001_A06","m2x","20231116-ABZ-p001-m2x_A06.TIF",0.958860759493671,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",1.88,"2023_11_01","see notion","EG6260",1,NA,NA,NA,"/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20231116_CAE_Ce_Cb_ABZ_AOS/Analysis-20231117/processed_images/","albendazole_EG6260","worm",619.413613285543,534.493186204239,567.333028182792,598.279611885381,626.585550358344,41.4046214590084,645.568645277809,655.230338558422,696.41218144682,0.0668448683899385,15,NA,NA
"ABZ_p001_A07","ABZ_1_EG6260_albendazole","ABZ","p001","A07",20231116,"p001_A07","m2x","20231116-ABZ-p001-m2x_A07.TIF",0.975313988739714,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",3.75,"2023_11_01","see notion","EG6260",1,NA,NA,NA,"/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20231116_CAE_Ce_Cb_ABZ_AOS/Analysis-20231117/processed_images/","albendazole_EG6260","worm",610.953672664854,572.578851522036,582.952476964369,593.645414392256,608.903373031289,24.3508268201508,623.251689257084,649.325103160442,652.604116831061,0.0398570757647426,17,NA,NA
"ABZ_p001_A08","ABZ_1_EG6260_albendazole","ABZ","p001","A08",20231116,"p001_A08","m2x","20231116-ABZ-p001-m2x_A08.TIF",0.906634882796981,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",7.5,"2023_11_01","see notion","EG6260",1,NA,NA,NA,"/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20231116_CAE_Ce_Cb_ABZ_AOS/Analysis-20231117/processed_images/","albendazole_EG6260","worm",585.697237680509,539.48221494191,545.134896359327,572.950046150578,594.385056884722,25.3346781082291,600.898017412908,613.192032694518,616.470374306402,0.0432555874918584,17,NA,NA
"ABZ_p001_A09","ABZ_1_EG6260_albendazole","ABZ","p001","A09",20231116,"p001_A09","m2x","20231116-ABZ-p001-m2x_A09.TIF",1.01952506596306,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",15,"2023_11_01","see notion","EG6260",1,NA,NA,NA,"/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20231116_CAE_Ce_Cb_ABZ_AOS/Analysis-20231117/processed_images/","albendazole_EG6260","worm",551.436525732942,480.566809570451,507.190731593705,528.198382542761,549.727061403893,33.6499756346641,585.321501701208,592.379051128929,597.039207833684,0.0610223916341744,28,NA,NA
"ABZ_p001_A10","ABZ_1_EG6260_albendazole","ABZ","p001","A10",20231116,"p001_A10","m2x","20231116-ABZ-p001-m2x_A10.TIF",1.05766150560598,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",30,"2023_11_01","see notion","EG6260",1,NA,NA,NA,"/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20231116_CAE_Ce_Cb_ABZ_AOS/Analysis-20231117/processed_images/","albendazole_EG6260","worm",529.125970775365,488.147310152298,504.64136979423,518.310787444603,525.990581781743,22.0500897022859,537.280296911596,557.418135774502,575.475702923881,0.0416726657169641,22,NA,NA
