"strain","mean_median_wormlength_um_reg_delta"
"BRC20391",-212.418065343644
"NIC1563",-165.094109353275
"NIC389",-217.566103630306
"NIC58",-285.346690497685
"NIC936",-273.062291585697
"NIC957",-225.325280572919
"NIC993",-216.516826548419
