"well.id","flag_id","Metadata_Experiment","Metadata_Plate","Metadata_Well","Metadata_Date","Metadata_Group","Metadata_Magnification","FileName_RawBF","wo_po_area_frac","assay_type","food_conc_OD","food_type","diluent","diluent_concentration_perc","drug","concentration_um","drug_stock_prep_date","drug_prep_method","strain","bleach","well_censor","well_censor_reason","notes","i.dir","w.lab","gbm2x_class","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","n","titer_WellFlag","n_WellFlag"
"CtDRC1_p001_A11","CtDRC1_1_NIC389_albendazole","CtDRC1","p001","A11",20240813,"p001_A11","m2x","20240813-CtDRC1-p001-m2x_A11.TIF",0.88486646884273,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",60,"2023_11_01","see notion","NIC389",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC389","worm",731.823318590211,565.837697672615,592.192764495905,676.644799776498,747.85894259208,81.9435698025621,796.595962045113,818.724120819298,824.535447919539,0.111971793902958,22,NA,NA
"CtDRC1_p001_A12","CtDRC1_1_NIC389_albendazole","CtDRC1","p001","A12",20240813,"p001_A12","m2x","20240813-CtDRC1-p001-m2x_A12.TIF",0.987274220032841,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",120,"2023_11_01","see notion","NIC389",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC389","worm",688.593028890126,546.463327573978,614.595816947431,651.707973724557,681.77926472718,59.8507661479126,732.96041566737,759.725269284053,797.018603625919,0.0869174732198205,29,NA,NA
"CtDRC1_p001_B01","CtDRC1_1_BRC20391_albendazole","CtDRC1","p001","B01",20240813,"p001_B01","m2x","20240813-CtDRC1-p001-m2x_B01.TIF",1.01941466241669,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0,"2023_11_01","see notion","BRC20391",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_BRC20391","worm",921.055871803075,799.633601298534,854.613320166059,864.153346363462,927.902303984264,61.5721724576323,973.664712545257,993.376711168681,996.844245568733,0.0668495520658238,16,NA,NA
"CtDRC1_p001_B02","CtDRC1_1_BRC20391_albendazole","CtDRC1","p001","B02",20240813,"p001_B02","m2x","20240813-CtDRC1-p001-m2x_B02.TIF",1.02551163442669,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.12,"2023_11_01","see notion","BRC20391",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_BRC20391","worm",967.537637441495,897.040144986886,937.440607542762,965.428739906352,972.287435694201,25.4077027578738,978.064392334869,993.650948321883,999.952333690356,0.0262601699144858,16,NA,NA
"CtDRC1_p001_B03","CtDRC1_1_BRC20391_albendazole","CtDRC1","p001","B03",20240813,"p001_B03","m2x","20240813-CtDRC1-p001-m2x_B03.TIF",0.945187165775401,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.23,"2023_11_01","see notion","BRC20391",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_BRC20391","worm",919.788208184985,838.609526992132,851.237936783731,879.358667446619,920.975552820571,48.7674177524075,965.648340658284,969.692031081636,977.978188675238,0.0530202684905475,18,NA,NA
"CtDRC1_p001_B04","CtDRC1_1_BRC20391_albendazole","CtDRC1","p001","B04",20240813,"p001_B04","m2x","20240813-CtDRC1-p001-m2x_B04.TIF",1.00149342891278,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.47,"2023_11_01","see notion","BRC20391",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_BRC20391","worm",932.140898706218,830.697992883004,875.630405421887,905.87134803096,945.195950349573,44.39920229639,959.603809714067,981.071319615429,991.152988675238,0.0476314282079186,17,NA,NA
"CtDRC1_p001_B05","CtDRC1_1_BRC20391_albendazole","CtDRC1","p001","B05",20240813,"p001_B05","m2x","20240813-CtDRC1-p001-m2x_B05.TIF",0.937572590011614,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.94,"2023_11_01","see notion","BRC20391",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_BRC20391","worm",897.894275603198,801.894039615429,821.607172604688,868.193523987624,902.364358787991,51.6891028552983,927.578364854552,967.261187220622,977.356282721935,0.057567025717559,22,NA,NA
"CtDRC1_p001_B06","CtDRC1_1_BRC20391_albendazole","CtDRC1","p001","B06",20240813,"p001_B06","m2x","20240813-CtDRC1-p001-m2x_B06.TIF",0.905786972323176,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",1.88,"2023_11_01","see notion","BRC20391",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_BRC20391","worm",845.730279163901,756.115693484309,802.931865233269,812.318600660978,846.57298511674,39.0111452489977,877.019441786572,890.831667959892,903.812677989563,0.0461271710498111,20,NA,NA
"CtDRC1_p001_B07","CtDRC1_1_BRC20391_albendazole","CtDRC1","p001","B07",20240813,"p001_B07","m2x","20240813-CtDRC1-p001-m2x_B07.TIF",0.880120481927711,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",3.75,"2023_11_01","see notion","BRC20391",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_BRC20391","worm",755.25071862399,604.540394037924,644.855158120222,710.574116366822,794.340369237579,90.6394678747611,814.741964906352,826.556628514169,834.088650358345,0.120012421888058,6,NA,NA
"CtDRC1_p001_B08","CtDRC1_1_BRC20391_albendazole","CtDRC1","p001","B08",20240813,"p001_B08","m2x","20240813-CtDRC1-p001-m2x_B08.TIF",0.903866248693835,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",7.5,"2023_11_01","see notion","BRC20391",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_BRC20391","worm",763.942472045054,672.899568381329,716.491913120179,749.687231088146,765.037988384315,40.8815987593106,788.311899501921,806.015323433633,835.989654413725,0.0535139755351887,16,NA,NA
